N5_10_2 SAM6_GTB1_TAC2_CH10
N5_11_1 SAM6_GTB1_TAC2_CH3
N5_11_2 SAM6_GTB1_TAC2_CH11
N5_12_1 SAM6_GTB1_TAC2_CH4
N5_12_2 SAM6_GTB1_TAC2_CH12
N5_13_1 SAM6_GTB1_TAC2_CH5
N5_13_2 SAM6_GTB1_TAC2_CH13
N5_14_1 SAM6_GTB1_TAC2_CH6
N5_14_2 SAM6_GTB1_TAC2_CH14
N5_15_1 SAM6_GTB1_TAC2_CH7
N5_15_2 SAM6_GTB1_TAC2_CH15
N5_16_1 SAM6_GTB1_TAC2_CH8
N5_16_2 SAM6_GTB1_TAC2_CH16
N5_17_1 SAM6_GTB1_TAC5_CH1
N5_17_2 SAM6_GTB1_TAC5_CH9
N5_18_1 SAM6_GTB1_TAC5_CH2
N5_18_2 SAM6_GTB1_TAC5_CH10
N5_19_1 SAM6_GTB1_TAC5_CH3
N5_19_2 SAM6_GTB1_TAC5_CH11
N5_20_1 SAM6_GTB1_TAC5_CH4
N5_20_2 SAM6_GTB1_TAC5_CH12
N6_1_1 SAM6_GTB1_TAC3_CH1
N6_1_2 SAM6_GTB1_TAC3_CH9
N6_2_1 SAM6_GTB1_TAC3_CH2
N6_2_2 SAM6_GTB1_TAC3_CH10
N6_3_1 SAM6_GTB1_TAC3_CH3
N6_3_2 SAM6_GTB1_TAC3_CH11
N6_4_1 SAM6_GTB1_TAC3_CH4
N6_4_2 SAM6_GTB1_TAC3_CH12
N6_5_1 SAM6_GTB1_TAC3_CH5
N6_5_2 SAM6_GTB1_TAC3_CH13
N6_6_1 SAM6_GTB1_TAC3_CH6
N6_6_2 SAM6_GTB1_TAC3_CH14
N6_7_1 SAM6_GTB1_TAC3_CH7
N6_7_2 SAM6_GTB1_TAC3_CH15
N6_8_1 SAM6_GTB1_TAC3_CH8
N6_8_2 SAM6_GTB1_TAC3_CH16
N6_9_1 SAM6_GTB1_TAC4_CH1
N6_9_2 SAM6_GTB1_TAC4_CH9
N6_10_1 SAM6_GTB1_TAC4_CH2
N6_10_2 SAM6_GTB1_TAC4_CH10
N6_11_1 SAM6_GTB1_TAC4_CH3
N6_11_2 SAM6_GTB1_TAC4_CH11
N6_12_1 SAM6_GTB1_TAC4_CH4
N6_12_2 SAM6_GTB1_TAC4_CH12
N6_13_1 SAM6_GTB1_TAC4_CH5
N6_13_2 SAM6_GTB1_TAC4_CH13
N6_14_1 SAM6_GTB1_TAC4_CH6
N6_14_2 SAM6_GTB1_TAC4_CH14
N6_15_1 SAM6_GTB1_TAC4_CH7
N6_15_2 SAM6_GTB1_TAC4_CH15
N6_16_1 SAM6_GTB1_TAC4_CH8
N6_16_2 SAM6_GTB1_TAC4_CH16
N6_17_1 SAM6_GTB1_TAC5_CH5
N6_17_2 SAM6_GTB1_TAC5_CH13
N6_18_1 SAM6_GTB1_TAC5_CH6
N6_18_2 SAM6_GTB1_TAC5_CH14
N6_19_1 SAM6_GTB1_TAC5_CH7
N6_19_2 SAM6_GTB1_TAC5_CH15
N6_20_1 SAM6_GTB1_TAC5_CH8
N6_20_2 SAM6_GTB1_TAC5_CH16
N7_1_1 SAM6_GTB1_TAC6_CH1
N7_1_2 SAM6_GTB1_TAC6_CH9
N7_2_1 SAM6_GTB1_TAC6_CH2
N7_2_2 SAM6_GTB1_TAC6_CH10
N7_3_1 SAM6_GTB1_TAC6_CH3
N7_3_2 SAM6_GTB1_TAC6_CH11
N7_4_1 SAM6_GTB1_TAC6_CH4
N7_4_2 SAM6_GTB1_TAC6_CH12
N7_5_1 SAM6_GTB1_TAC6_CH5
N7_5_2 SAM6_GTB1_TAC6_CH13
N7_6_1 SAM6_GTB1_TAC6_CH6
N7_6_2 SAM6_GTB1_TAC6_CH14
N7_7_1 SAM6_GTB1_TAC6_CH7
N7_7_2 SAM6_GTB1_TAC6_CH15
N7_8_1 SAM6_GTB1_TAC6_CH8
N7_8_2 SAM6_GTB1_TAC6_CH16
N7_9_1 SAM6_GTB1_TAC7_CH1
N7_9_2 SAM6_GTB1_TAC7_CH9
N7_10_1 SAM6_GTB1_TAC7_CH2
N7_10_2 SAM6_GTB1_TAC7_CH10
N7_11_1 SAM6_GTB1_TAC7_CH3
N7_11_2 SAM6_GTB1_TAC7_CH11
N7_12_1 SAM6_GTB1_TAC7_CH4
N7_12_2 SAM6_GTB1_TAC7_CH12
N7_13_1 SAM6_GTB1_TAC7_CH5
N7_13_2 SAM6_GTB1_TAC7_CH13
N7_14_1 SAM6_GTB1_TAC7_CH6
N7_14_2 SAM6_GTB1_TAC7_CH14
N7_15_1 SAM6_GTB1_TAC7_CH7
N7_15_2 SAM6_GTB1_TAC7_CH15
N7_16_1 SAM6_GTB1_TAC7_CH8
N7_16_2 SAM6_GTB1_TAC7_CH16
N7_17_1 SAM6_GTB1_TAC10_CH1
N7_17_2 SAM6_GTB1_TAC10_CH9
N7_18_1 SAM6_GTB1_TAC10_CH2
N7_18_2 SAM6_GTB1_TAC10_CH10
N7_19_1 SAM6_GTB1_TAC10_CH3
N7_19_2 SAM6_GTB1_TAC10_CH11
N7_20_1 SAM6_GTB1_TAC10_CH4
N7_20_2 SAM6_GTB1_TAC10_CH12
N8_1_1 SAM6_GTB1_TAC8_CH1
N8_1_2 SAM6_GTB1_TAC8_CH9
N8_2_1 SAM6_GTB1_TAC8_CH2
N8_2_2 SAM6_GTB1_TAC8_CH10
N8_3_1 SAM6_GTB1_TAC8_CH3
N8_3_2 SAM6_GTB1_TAC8_CH11
N8_4_1 SAM6_GTB1_TAC8_CH4
N8_4_2 SAM6_GTB1_TAC8_CH12
N8_5_1 SAM6_GTB1_TAC8_CH5
N8_5_2 SAM6_GTB1_TAC8_CH13
N8_6_1 SAM6_GTB1_TAC8_CH6
N8_6_2 SAM6_GTB1_TAC8_CH14
N8_7_1 SAM6_GTB1_TAC8_CH7
N8_7_2 SAM6_GTB1_TAC8_CH15
N8_8_1 SAM6_GTB1_TAC8_CH8
N8_8_2 SAM6_GTB1_TAC8_CH16
N8_9_1 SAM6_GTB1_TAC9_CH1
N8_9_2 SAM6_GTB1_TAC9_CH9
N8_10_1 SAM6_GTB1_TAC9_CH2
N8_10_2 SAM6_GTB1_TAC9_CH10
N8_11_1 SAM6_GTB1_TAC9_CH3
N8_11_2 SAM6_GTB1_TAC9_CH11
N8_12_1 SAM6_GTB1_TAC9_CH4
N8_12_2 SAM6_GTB1_TAC9_CH12
N8_13_1 SAM6_GTB1_TAC9_CH5
N8_13_2 SAM6_GTB1_TAC9_CH13
N8_14_1 SAM6_GTB1_TAC9_CH6
N8_14_2 SAM6_GTB1_TAC9_CH14
N8_15_1 SAM6_GTB1_TAC9_CH7
N8_15_2 SAM6_GTB1_TAC9_CH15
N8_16_1 SAM6_GTB1_TAC9_CH8
N8_16_2 SAM6_GTB1_TAC9_CH16
